JO_REQST_NO,CMPNY_NM,JO_SJ,JOBCODE_NM,CAREER_CND_NM,ACDMCR_NM,EMPLYM_STLE_CMMN_MM,HOPE_WAGE,WORK_PARAR_BASS_ADRES_CN,SUBWAY_NM,WORK_TIME_NM,HOLIDAY_NM,WEEK_WORK_HR,RCEPT_CLOS_NM,RCEPT_MTH_NM,PRESENTN_PAPERS_NM,MNGR_PHON_NO,BSNS_SUMRY_CN,DTY_CN,RET_GRANTS_NM,JO_FEINSR_SBSCRB_NM,JO_REG_DT,WELFARE_CN,직무상세성점수,기업소개점수,급여품질점수,복지점수,근무조건점수,출퇴근편의점수,종합점수,등급
H954202607270036,아이앤디주식회사,플라스틱 용기 제조(압출성형) 생산직 모집,플라스틱제품 생산기계 조작원,경력,관계없음,상용직,최소연봉 / 4500만원 ,경기 용인시,,(근무시간) (오전) 8시 00분 ~ (오후) 5시 00분,주5일근무,40,마감일 (2026-09-24),고용24 입사지원   ,이력서 자기소개서  ,031-289-2215,플라스틱성형용기,"압출 성형기 조작(경력자 우대, 초보가능)
제품 조립, 사상, 포장 단순업무

신입부터 경력직까지 모집하고 있습니다.
블로우 성형 사출로 20L~1,000L의 플라스틱 용기를 생산 및 포장하고 있습니다.
사출 유관 업종 또한 경력으로 반영하고 있습니다.
사출/압출 경력자 우대하며, 경험이 없는 분도 무관합니다.",퇴직연금,고용보험 산재보험 건강보험 국민연금,2026-07-27,,6.5,5.0,20.0,7.4,20.0,7.0,65.9,C
H954202607270931,리뉴에트에스테틱 평택점,평택피부관리사 ,메이크업 아티스트 및 분장사,경력,관계없음,상용직,월급 / 300만원 ,경기 평택시2층,,"(근무시간) 화-금 11시 00분~20시 00분
화-금 휴게시간 13:30-14:00, 17:00-17:30

토",주5일근무,39,마감일 (2026-09-24),방문 고용24 입사지원  ,이력서   ,031-646-1269,.,"피부관리,바디관리, 홍보, 고객관리",퇴직금,고용보험 산재보험 건강보험 국민연금,2026-07-27,,6.5,5.0,20.0,7.4,20.0,7.0,65.9,C
H954202607270315,청운어린이집,보육교사,보육 교사,경력,전문대학,상용직,월급 / 233만원 - 면접 후 협의가능 ,서울 종로구청운별빛어린이집,,(근무시간) (오전) 9시 00분 ~ (오후) 6시 00분,주5일근무,40,마감일 (2026-09-24),고용24 입사지원   ,이력서 자기소개서 졸업증명서 경력증명서,02-2148-4181,어린이집,"안녕하세요~ 
자연속에서 아이들과 함께 근무하실 담임교사 모집 합니다. 
청운별빛어린이집에서 함께 좋은 인연을 만들어 보고자 합니다. 
많은 지원 부탁드립니다. 
1.채용분야 및 자격 - 자격 : 보육교사 2급 이상 소지자 
2.근무조건 - 급여 : 보육사업 지침 준수
3. 채용일정 - 1차: 서류 전형 - 2차 : 면접 - 접수 마감 후 , 1차 서류전형 합격자를 대상으로 개별 연락드립니다. - 최종 합격자 발표 : 2차 면접 합격자를 대상으로 개별 통보드립니다. 
4.  접수 방법 : chun220901@naver.com ( 이메일 접수 바랍니다.) - 제출서류 : 이력서, 자기 소개서, 자격증, 경력증명서 (경력자에 한함) ( 그 외 제출 서류는 1차 서류 합격자를 대상으로 개별 안내드립니다. ) 
5. 문의처 - 기타 문의 사항 : 02) 730-9261

 *** 선생님들의 많은 지원 바랍니다. 감사합니다. ***",퇴직금,고용보험 산재보험 건강보험 국민연금,2026-07-27,,13.0,5.0,20.0,7.4,20.0,7.0,72.4,B
H954202607270356,재가노인복지센터 설렘,노인주간보호센터 요양보호사 구인합니다.,간병인(재가 제외),경력,관계없음,계약직,월급 / 225만원 ,경기 용인시,,(근무시간) (오전) 8시 30분 ~ (오후) 5시 30분,주5일근무,40,마감일 (2026-09-24),방문 팩스 고용24 입사지원 ,이력서   ,031-289-2214,"방문요양, 주야간보호","저희 센터는 26년 3월에 시작한 재가노인복지센터로 주간보호센터와 방문요양을 합니다.  주간보호센터에서 함께할 요양보호사를 구인합니다.

[직무소개]
우리 기관은 노인들의 삶의 질을 향상시키기 위해 노력하는 기관입니다.  섬세하고 꼼꼼하고 책임감 있는 분을 찾습니다.<업무>
- 어르신 송영
- 어르신들의 일상생활 지원
- 영양 관리 및 식사 제공
- 정신적, 신체적 건강 관리
- 일상생활 돕기
- 안전 관리 및 예방
- 프로그램 지원
- 어르신 목욕

근무조건 : 주40시간 근무, 토요일이나 공휴일 근무시 평일 휴무",퇴직연금,고용보험 산재보험 건강보험 국민연금,2026-07-27,,16.0,5.0,20.0,7.4,20.0,7.0,75.4,B
H954202607270134,송추한가족요양원,퐁당당의 따뜻한 마음을 전하는 요양보호사를 찾습니다!,요양 보호사 및 간병인,무관,관계없음,상용직,월급 / 250만원 ,경기 양주시,,출근 8시40분 / 퇴근 익일 09:00(휴게시간 포함),주5일근무,40,마감일 (2026-09-24),고용24 입사지원   ,이력서 경력증명서  ,031-849-2331,노인요양기관,"[모집직무]
요양보호사(퐁당당)

[직무소개]
우리 요양원은 여러분의 따뜻한 마음과 솜씨가 필요한 노인 케어 서비스를 제공하고 있습니다.  우리 팀에 합류하여 노인들의 삶을 풍요롭게 만들어 주세요.

[주요업무]
- 노인들의 일상생활 지원
- 식사와 목욕 등 개인위생 관리
- 건강상태 관찰 및 기록
- 활동 및 놀이 활동 병행
- 환경 청결 유지 및 관리",퇴직금,고용보험 산재보험 건강보험 국민연금,2026-07-27,,9.5,5.0,20.0,7.4,20.0,7.0,68.9,C
H954202607270138,1424재가노인복지센터,성실하고 인내심있는 요양보호사-화성시 향남,재가 간병인,무관,관계없음,상용직(시간제),시급 / 10320원 ,경기 화성시000,,(근무시간) (오전) 9시 00분 ~ (오후) 1시 00분,주5일근무,20,마감일 (2026-09-24),고용24 입사지원   ,이력서 자기소개서  ,02-2142-8427,"방문요양, 방문목욕, 복지용구","- 2등급 (여:80대) 
- 인지저하, 거동가능
- 근무시간 : 주5일(월 ~ 금) 09:00~13:00
- 일상생활 지원, 취사, 식사 도움, 청소
- 화성시 향남읍 행정중앙2로38


1424care.com

5대보험, 퇴직금 적립해드림",퇴직금,고용보험 산재보험 건강보험 국민연금,2026-07-27,,6.5,5.0,18.0,7.4,20.0,7.0,63.9,C
H954202607270316,"제일스카이차,크레인","고소작업차, 스카이차 운전원모집, 초보자, 경력자우대",화물차·특수차 운전원,무관,관계없음,상용직,월급 / 255만원 ,경기 평택시2층,,(근무시간) (오전) 8시 00분 ~ (오후) 5시 00분,주6일근무,48,마감일 (2026-09-24),방문 우편 팩스 고용24 입사지원,이력서 자기소개서 경력증명서 ,031-646-1269,운수,"1~3.5톤 스카이장비 고소작업차 기사 모집합니다.

- 운전면허증, 스틱운전 (1종 보통이상) - 필수
- 화물운송종사자격증 - 필수
- 이동식크레인 고소작업대 조종작업자격증 - 필수
- 건설업기초보건이수증

차고지는 평택이며
평택외 인근 지역은(경기,충청) 이동을 해서 고소작업을 합니다.

초보자인경우 필수서류가 준비되어 있어야 지원가능하며
경력자 우대입니다.",퇴직금,고용보험 산재보험 건강보험 국민연금,2026-07-27,,11.5,5.0,20.0,7.4,20.0,7.0,70.9,B
H954202607270042,장솔노인복지센터,송파 경찰병원근처 4등급 89세 할머니 재가 요양사 구함,재가 간병인,무관,관계없음,상용직,시급 / 10320원 ,서울 송파구5층,,(근무시간) (오후) 1시 ~ (오후) 4시 00분,주5일근무,,마감일 (2026-09-24),방문   ,이력서   ,02-3282-9233,방문요양,"4등급 89세 독거 할머니 식사제공 걷기운동 
근무시간 : 주5일. 오후1시-4시 (3시간)
근무장소 : 서울특별시 송파구 동남로13길 32 (가락동, 가락그랑밸리) 5층",퇴직금,고용보험 산재보험 건강보험 국민연금,2026-07-27,,5.0,5.0,18.0,7.4,16.0,7.0,58.4,C
H954202607270070,고덕재가복지센터,요양보호사 선생님 구합니다.,재가 간병인,무관,관계없음,상용직(시간제),시급 / 10320원 ,경기 평택시신일연립,,(근무시간) (오전) 9시 00분 ~ (정오) 12시 00분,주5일근무,15,마감일 (2026-09-24),방문 고용24 입사지원 기타 ,이력서 기타  ,031-646-1043,.,"어르신 케어해주실 요양보호사 선생님을 구합니다. 
근처 거주자 환영 !

1. 신체 활동 지원
2. 식사 준비 및 제공
3. 말 벗

▶시급 : 13,000원이상 (주휴 수당, 기타 수당 포함) 
▶근무시간 : 오전, 오후 협의 가능 ( 근무시간협의가능)",퇴직연금,고용보험 산재보험 건강보험 국민연금,2026-07-27,,6.5,5.0,18.0,7.4,20.0,7.0,63.9,C
H954202607270010,은화케어센터,은화케어센터(노인전문요양원) 요양보호사 모집,간병인(재가 제외),무관,관계없음,상용직,월급 / 241만원 ,경기 평택시,,"주간:09:00-18:00 (휴식시간1시간)
야간:18:00-09:00 (휴식시간6시간)
주간 야간 ",주5일근무,40,마감일 (2026-09-24),방문 우편 팩스 고용24 입사지원,이력서   ,031-646-1229,노인의료복지,입소어르신 일상생활 케어 및 프로그램 보조,퇴직연금,고용보험 산재보험 건강보험 국민연금,2026-07-27,,5.0,5.0,20.0,7.4,20.0,7.0,64.4,C
H954202607270212,SH콘크리트,"콘크리트 벽돌,블록 단순 생산직 모집",제조 단순 종사원,무관,관계없음,상용직,월급 / 270만원 - 면접 후 협의가능 ,경기 고양시,,"평일:06:00~15:00 토요일:06:00~15:00
- 상기 근무에 대한 급여이며 조정 가능하오",주6일근무,42,마감일 (2026-09-24),고용24 입사지원   ,이력서   ,031-920-3930,"벽돌 , 블록","콘크리트 벽돌,블록 생산직
지게차 가능자 우대
보일러및 골재 관리
주변 정리 및 청소",퇴직금,고용보험 산재보험 건강보험 국민연금,2026-07-27,,6.5,5.0,20.0,7.4,20.0,7.0,65.9,C
H954202607270029,Q우리 노인주야간 보호센터,Q우리노인주간보호센터 요양보호사 선생님를 구합니다.^^,간병인(재가 제외),무관,관계없음,상용직,월급 / 216만원 ,경기 광주시2층,,(근무시간) (오전) 9시 00분 ~ (오후) 6시 00분,주5일근무,40,마감일 (2026-09-24),방문 우편 팩스 고용24 입사지원,이력서 자기소개서  ,031-799-2703,주야간보호센터,"Q우리노인주간보호센터에서 밝은 분위기로 함께 하실 요양보호사 선생님을 구합니다~~^^

근무시간 : 09:00~18:00
근무형태 :  주5일 이며  토요일 근무시 평일 하루 휴무입니다.
경력조건 : 신입, 경력 상관없습니다~
기타 : 차량 송영 (자차환영)가능자 우대합니다.(운전필수!!!!)

#  어르신에 대한 공경심과 성실한 근무 태도를 가지신 분 환영합니다.^^",퇴직연금,고용보험 산재보험 건강보험 국민연금,2026-07-27,,10.0,5.0,20.0,7.4,20.0,7.0,69.4,C
H954202607270046,가은재활주야간보호센터,가은재활주야간보호센터 요양보호사 모집,간병인(재가 제외),무관,관계없음,상용직,월급 / 216만원 ,경기 남양주시가은재활주야간보호센터,,(근무시간) (오전) 8시 00분 ~ (오후) 6시 00분,주5일근무,40,마감일 (2026-09-24),방문 고용24 입사지원  ,이력서   ,031-560-1965,주야간보호센터,"1. 채용분야 : 요양보호사 1명
2. 지원자격 
가. 요양보호사 자격증 소지자
나.케어포 및 운전가능자 
다. 주야간보호 이용 어르신 신체활동 지원,인지관리 및 의사소통, 프로그램 진행 등
- 주야간보호 요양급여 제공기록 및 서비스 제공
- 근무시간 : 08:00 ~ 18:00 / 주5일근무 (휴게시간 12:30~14:30 2시간)",퇴직연금,고용보험 산재보험 건강보험 국민연금,2026-07-27,,8.0,5.0,20.0,7.4,20.0,7.0,67.4,C
H954202607270074,맑은샘요양원II,요양보호사 주간 근무자를 모십니다.,간병인(재가 제외),무관,관계없음,상용직,월급 / 256만원 ,경기 안산시,,(근무시간) (오전) 8시 00분 ~ (오후) 6시 00분,주5일근무,40,마감일 (2026-09-24),방문 고용24 입사지원  ,이력서   ,031-412-6914,요양시설,"*요양보호사 업무


*근무시간
주간근무자
08:00-18:00
(휴게시간1시간)",퇴직연금,고용보험 산재보험 건강보험 국민연금,2026-07-27,,6.5,5.0,20.0,7.4,20.0,7.0,65.9,C
H954202607270056,푸른솔재가복지센터,요양보호사 모집,재가 간병인,무관,관계없음,상용직(시간제),시급 / 10320원 ,경기 남양주시,,(근무시간) (오후) 2시 00분 ~ (오후) 5시 00분,주5일근무,15,마감일 (2026-09-24),기타   ,이력서   ,031-560-1965,재가요양보호,"요양보호사 1명 모집 합니다.

자격 : 요양보호사 자격증 소지자(치매이수한 자)
경력 :  관계 없으나 경험자면 좋음
근무내용 : 5등급 80대 어르신,
    - 주 5일 (월~금)/ 일 3시간 근무 (근무시간: 오후 2시~오후 5시)
    - 인지활동, 가사 및 일상생활지원 등
    - 개인 위생은 본인이 함.
    - 희망자는 사무실 연락 또는 방문하여 면접 후 이용인과 대면 상담 후 채용

시급 : 13,200원 (기본급+주휴수당 등 기타수당 포함)
환경 : 단독주택
방문요양 급여제공 장소 : 남양주시 수동면 외방리
교통편 : 자가용 용이함. 대중교통 이용 가능.",퇴직금,고용보험 산재보험 건강보험 국민연금,2026-07-27,,11.5,5.0,18.0,7.4,20.0,7.0,68.9,C
H954202607270002,지안요양원 계산점,지안요양원 계산점 요양보호사 채용,간병인(재가 제외),무관,관계없음,상용직,월급 / 216만원 ,인천 계양구7층,,(근무시간) (오전) 9시 00분 ~ (오후) 6시 00분,주5일근무,40,마감일 (2026-09-24),고용24 입사지원   ,이력서   ,032-540-5740,요양원,"？？？ 주요업무 (요양보호사 업무)
신체활동 지원
식사 및 목욕 서비스
이동 및 기본동작 지원
정서지원 및 대화 서비스
체위변경 및 욕창 예방
생활환경 정리 및 위생관리

？？ 자격요건
？ 학력무관
？？요양보호사？자격을？보유하신？분
？？대인소통이？원활하고？성실하신？분

？？ 우대사항
？？요양원 경력자 우대

？？ 근무조건
？ 고용형태 : 정규직
？ 급여 : 월급 216만원 (주간근무)
？ 근무지 : 인천 계양구 오조산로57번길 11-1 강남모던빌 7층 (구 강남요양원)
？ 근무요일/시간 : 주간 기본
                 주간 : 09시~18시 (8시간), 
                 휴게시간 - 주간 1시간, 

？？ 복지 및 혜택
？？명절상여？(구정,？추석)？연2회？각？10만원
？？여름휴가비？지원？10만원
？？건강검진비？지원？10만원
？？생일축하비？5만원
？？분기별？우수직원？포상
？？자기계발비？지원
？？개인직무역량？강화를？위한？다양한？교육의？기회？제공
상기는？현재운영중인？복지혜택이며,？복지？혜택은？근로자의견을？수렴하여？다양하게？확대할？예정입니다.",퇴직금,고용보험 산재보험 건강보험 국민연금,2026-07-27,,16.0,5.0,20.0,7.4,20.0,7.0,75.4,B
H954202607270466,현대자원산업주식회사,[생산관리부]현장운영 공무팀 관리직 모집[대리급 이상](지게차 필수),재활용 처리장치 조작원,경력,고등학교,계약직,월급 / 400만원 - 면접 후 협의가능 ,경기 화성시,,"근무시간 07:30~17:30
휴게시간 09:30~10:00 / 12:00~13:00 / 15:00~15:30
(공통)토요일 ",주5일근무,40,마감일 (2026-09-24),고용24 입사지원   ,이력서 자기소개서 경력증명서 ,031-290-0823,"금속캔(철캔,알루미늄캔) 및 고철, 비철, 파지 등 자원을 수집하여 가공 납","[모집직무]

현장운영·생산관리·공무팀 관리직

[직무소개]

현대자원산업은 알루미늄캔 등 재활용 자원을 수거·선별·가공하는 재활용 전문 업체입니다.
본 직무는 생산·출하·물류 업무를 관장하며 데이터를 관리하고, 현장 설비 및 기계 조작을 지원하는 업무입니다.
공무팀 성격의 관리 업무를 수행하되, 회사 현장 상황에 따라 입고·출고·선별·정리 등 현장 업무도 함께 지원할 수 있는 분을 모집합니다.

[자격요건]

채용인원
총 1명
경력직·대리급 이상 1명

[주요업무]
입출고 상하차
생산 데이터 관리
출하 데이터 관리
물류 및 입출고 데이터 관리
설비 조작 및 기계 조작
현장 설비 점검 및 운영 보조
원재료 입고품 및 출고품 품질 검수
현장 정리 및 안전관리 보조
작업 현황 보고 및 부서 간 업무 협의

[자격요건]

학력: 고졸 이상
경력: 경력자
직급: 대리급 이상 우대
기본적인 엑셀 및 데이터 입력 가능자
현장 업무와 관리 업무를 함께 수행할 수 있는 분

[우대사항]
지게차 운전 가능자(필수)
지게차운전기능사 자격증 소지자(이수증 필수, 자격증 우대)
재활용업, 고철·비철, 물류, 제조업 현장 경험자
설비 조작, 기계 조작, 공무 업무 경험자
생산·출하·물류 데이터 관리 경험자
장기근무 가능자
인근지역 거주자",퇴직연금,고용보험 산재보험 건강보험 ,2026-07-27,,17.5,5.0,20.0,7.4,20.0,7.0,76.9,B
H954202607270179,은화케어센터,은화케어센터(노인전문요양원) 간호조무사 모집,간호조무사,무관,관계없음,상용직,최소연봉 / 2640만원 ,경기 평택시,,"(근무시간) (오전) 9시 00분 ~ (오후) 6시 00분
주5일 근무
(주말 근무 포함 상",주5일근무,40,마감일 (2026-09-24),방문 우편 팩스 고용24 입사지원,이력서   ,031-646-1207,노인의료복지,시설내 어르신 건강관련 업무 및 행정 사무관련 업무,퇴직연금,고용보험 산재보험 건강보험 국민연금,2026-07-27,,6.5,5.0,20.0,7.4,20.0,7.0,65.9,C
H954202607270530,대교뉴이프 데이케어센터 인천미추홀센터,대교뉴이프 인천미추홀센터 요양보호사 모집,간병인(재가 제외),무관,관계없음,상용직,시급 / 10320원 ,인천 미추홀구2층 대교뉴이프,,(근무시간) 7:40~16:40 / 8:10~17:10 / 09:00~18:00 근무표에 따른 근무시간 배정,주5일근무,,마감일 (2026-09-24),고용24 입사지원   ,이력서   ,032-460-4940,노인 요양 복지시설 운영업,"대교뉴이프 인천미추홀센터는 어르신 한 분 한 분을 가족처럼 존중하며 돌보고 있습니다.

어르신을 진심으로 대하고, 동료들과 함께 협력하며 밝은 분위기 속에서 오래 함께 성장할 수 있는 선생님을 기다립니다. 성실함과 따뜻한 마음을 가진 선생님의 많은 지원 바랍니다.

[담당업무]
- 어르신 케어 및 일상생활 지원
- 프로그램 진행 및 보조
- 급여제공기록 작성
- 센터 환경정리 및 운영 지원
- 송영업무(필요시)

[자격요건]
- 요양보호사 자격증 소지자
- 운전면허 소지자(실 운전가능)

[우대사항]
- 주야간보호센터 실무 2년이상 경력자 혹은 유관업무 경력자
- 스타리아 운전 가능자
- 인근 거주자",퇴직연금,고용보험 산재보험 건강보험 국민연금,2026-07-27,,17.5,5.0,18.0,7.4,16.0,7.0,70.9,B
H954202607271083,논현점 기아오토큐,자동차 정비 기사 채용합니다.,자동차 정비원,무관,관계없음,상용직,월급 / 260만원 - 면접 후 협의가능 ,서울 강남구기아오토큐 논현점,,(근무시간) (오전) 9시 00분 ~ (오후) 6시 00분,주6일근무,40,마감일 (2026-09-24),고용24 입사지원   ,이력서   ,02-3468-4902,자동차 정비서비스,자동차 정비,퇴직금,고용보험 산재보험 건강보험 국민연금,2026-07-27,,5.0,5.0,20.0,7.4,20.0,7.0,64.4,C
H954202607270163,썬앤문스퀘어주식회사,김포고촌 중고차매매단지 외곽청소 미화원 모집,청소원,무관,관계없음,계약직(시간제),월급 / 186만원 ,경기 김포시김포 국민차 매매단지,,"/ 주 5 일 근무 + 토, 일 7명이서 1명 씩 순번 근무
/ 월~금 : 07:30~16:00 (휴게 2.5",주5일근무,30,마감일 (2026-09-24),방문 기타  ,이력서   ,031-999-0921,비주거용 부동산 관리업,"**김포고촌 중고차매매단지 외곽청소 미화원 구인(고촌 아라뱃길 위치)
  고촌역 국민은행앞에서 16번 마을버스 이용하시거나 자차이용

* 중고 자동차매매단지 내 미화(분리수거 외곽청소 외 ) 업무
* 주말포함한 주 5 일 근무 (토, 일 7명이서 교대근무)월 1회 연차 사용
* 월~금 : 07:30~16:00 (휴게 2.5 시간: 휴계실있음) 휴일근무시(토, 일): 10:00~15:00 (휴게 1시간)
* 급여: 1,860,000원

 복지카드 소지자 우대함,",퇴직연금,고용보험 산재보험 건강보험 국민연금,2026-07-27,,11.5,5.0,20.0,7.4,20.0,7.0,70.9,B
H954202607270111,태화축산,농장가축사양원 구인,,신입,관계없음,상용직,월급 / 220만원 ,경기 파주시이천리10 ,,(근무시간) (오전) 7시 00분 ~ (오후) 6시 30분,기타,48,마감일 (2026-09-24),방문 고용24 입사지원  ,이력서 자기소개서  ,031-860-0411,양돈 (돼지),"양돈장가축사양관리,시설관리 등",퇴직금,고용보험 산재보험 건강보험 국민연금,2026-07-27,,6.5,5.0,20.0,7.4,15.0,7.0,60.9,C
H954202607270508,돌보미방문요양센터,요양보호사구함(2등급 여자어르신),재가 간병인,무관,관계없음,상용직,시급 / 10320원 ,서울 도봉구,,(근무시간) (오전) 9시 30분 ~ (오후) 1시 30분,주5일근무,,마감일 (2026-09-24),방문 기타  ,이력서   ,02-2171-1842,"방문요양, 방문목욕","-안방학동. 2등급여자어르신(부축하면 이동가능하심)
-신체, 정서, 일상생활 지원
-하루 2회 근무하실분
-1회 : 09:30-12:30(이외에 비급여근무 있음)
 2회 : 15:00-18:00(3시간)(주휴수당 등 포함 시 시급 13,500원)

*말 잘 듣는 영리한 강아지 있음
*오전/오후 따로 근무도 가능함(즉, 오전 오후 각각도 상관없다고 함)",퇴직연금,고용보험 산재보험 건강보험 국민연금,2026-07-27,,6.5,5.0,18.0,7.4,16.0,7.0,59.9,C
H954202607270007,지앤에스 주식회사,가평 골프장 락카 근무자 모집,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",무관,관계없음,계약직,월급 / 216만원 ,경기 가평군현관사무실,,(근무시간) (오전) 5시 00분 ~ (오후) 2시 00분,주6일근무,48,마감일 (2026-09-24),   ,이력서   ,031-580-2956,골프장,"골프장 클럽하우스 내부 청소

조출(5:00~14:00)
마감(11:00~20:00)
교대근무

주 6일근무(공휴일휴무)",해당없음,고용보험 산재보험 건강보험 국민연금,2026-07-27,,5.0,5.0,20.0,6.2,20.0,4.0,60.2,C
H954202607270112,대경,생산직 채용,가구 제조원,신입,관계없음,상용직,월급 / 220만원 - 면접 후 협의가능 ,경기 김포시나동,,(근무시간) (오전) 8시 00분 ~ (오후) 5시 00분,주5일근무,40,마감일 (2026-09-24),방문   ,이력서 기타  ,031-999-0921,씽크및가구조립,"제조 단순직
기등공 보조",퇴직금,고용보험 산재보험 건강보험 국민연금,2026-07-27,,5.0,5.0,20.0,7.4,20.0,7.0,64.4,C
H954202607271733,(주)명성농산,가락시장 중앙청과에서 정직원 모집합니다.,지게차 운전원,경력,관계없음,상용직,월급 / 500만원 ,"서울 송파구서울시 송파구 양재대로 932 (가락동, 채소시장 2동 1층 251-1호(중도매인))",,(근무시간) (오후) 9시 30분 ~ (오전) 7시 30분,주6일근무,48,마감일 (2026-09-24),기타   ,기타   ,02-2142-8964,"농수산물 유통, 수출","가락시장 중앙청과 채소2동 (주)명성농산에서 함께할 직원을 구합니다.

주요품목: 양파

주요업무 :
매장 재고 관리 및 시장내 양파 배송
수출 품목 포장 및 팔렛 적재

근무시간: (오후) 09시 30분 ~ (오전) 7시 30분 (주 6일, 일요일 밤~토요일 오전까지)

급여: 세전 500만원 (식대포함, 수습기간 2주)

시장 경력, 나이, 거주 지역 문자 남겨주시면 연락 드리겠습니다.
공일공-3075-6235",퇴직금,고용보험 산재보험 건강보험 국민연금,2026-07-27,,13.0,5.0,20.0,7.4,20.0,7.0,72.4,B
H954202607270405,현대자원산업주식회사,[생산관리부]알루미늄캔 재활용품 제조라인 현장관리(지게차 필수),화학·환경·에너지 분야 단순 종사원,경력,관계없음,계약직,월급 / 330만원 - 면접 후 협의가능 ,경기 화성시,,"(오전) 7시 00분~(오후) 5시 30분
(오전) 9시 30분~(오전) 10시 휴게시간
(정오) 1",주5일근무,40,마감일 (2026-09-24),고용24 입사지원   ,이력서 자기소개서 경력증명서 ,031-290-0823,"금속캔(철캔,알루미늄캔) 및 고철, 비철, 파지 등 자원을 수집하여 가공 납","[모집직무]
재활용 현장관리 및 지게차 운전

[직무소개]
현대자원산업은 알루미늄캔을 수거하여 선별 가공을 통해 재활용 원자재를 생산하는 전문 업체입니다.
본 직무는 사업장 내에서 지게차 운용, 상·하차, 물류관리, 현장 정리, 선별·가공 보조 등 재활용 현장의 전반적인 업무를 담당하는 직무입니다.
성실하게 현장 업무를 수행하고, 장기적으로 현장 운영을 함께 관리해 나갈 분을 모집합니다.

[주요업무]
기능별 지게차 운용
알루미늄캔 재활용품 포장
알루미늄캔 재활용품 입출고 보조
재활용품 선별·분류 및 현장 정리
압축기, 컨베이어 등 현장 설비 운전 보조
작업장 청결 유지 및 안전관리 보조
입출고 물류관리 및 현장 보고

[우대사항]
지게차 운전 가능자
지게차운전기능사 자격증 보유자
재활용업, 고철·비철, 물류, 제조업 현장 근무 경험자
장기 근무 가능자
현장 업무에 성실하고 책임감 있는 분
경기도 화성시 남양읍 인근지역 거주자",퇴직연금,고용보험 산재보험 건강보험 국민연금,2026-07-27,,19.0,5.0,20.0,7.4,20.0,7.0,78.4,B
H954202607270055,(주)엔비전스,(주)엔비전스 북촌 어둠속의대화展 시각장애인 전문 가이드 채용 공고 (시각장애인 채용),"박물관,미술관,문화,역사,자연환경 등 각종 해설사",무관,관계없음,계약직,최소연봉 / 2000만원 ,서울 종로구,,"주 24시간 근무 (1일 8시간)
※ 주말 및 공휴일 근무 필수
※수습기간 3개월 포",기타,24,마감일 (2026-09-24),기타   ,이력서 자기소개서  ,02-2004-7323,공연전시기획 / 정보접근성컨설팅,"-어둠속의대화 시각장애인 전문 가이드
-시각장애인 지원 가능
-주말, 공휴일 근무 필수
-근무시간 로테이션
-주3일 근무
-자세한 문의는 1877-6145 대표번호로 연락부탁드립니다.",퇴직금,고용보험 산재보험 건강보험 국민연금,2026-07-27,,6.5,5.0,20.0,7.4,15.0,7.0,60.9,C
H954202607270262,평택 미영상 의학과의원,"평택병원원무, 평택병원접수, 평택병원행정",,무관,관계없음,상용직(시간제),월급 / 170만원 ,경기 평택시현진빌딩2층,,"월요일,금요일 09:00-14:30 (휴게시간 13:00~13:30분)
화요일,수요일 09:00-18:00 (휴",주5일근무,31,마감일 (2026-09-24),방문 기타  ,이력서   ,031-646-1269,피부관리,병원접수 및 원무행정업무,퇴직금,고용보험 산재보험 건강보험 국민연금,2026-07-27,,6.5,5.0,20.0,7.4,20.0,7.0,65.9,C
H954202607270071,운천한마음주간보호,주간보호 요양보호사 모집,간병인(재가 제외),무관,관계없음,상용직,월급 / 216만원 ,경기 포천시운천한마음주간보호,,(근무시간) (오전) 8시 00분 ~ (오후) 5시 00분,주5일근무,40,마감일 (2026-09-24),방문 고용24 입사지원  ,이력서 자기소개서 기타 ,031-828-0922,주간보호,"주간보호소 요양보호사 구합니다.

시간 : 오전 8시 - 오후 5시
근무일 : 주 5일
업무 : 어르신들 케어 및 청소
학력: 무관
급여 : 협의
필수조건 :  요양보호사 자격증 보유
*올해 건강검진서, 범죄경력회보서 필수지참(미보유시 건강검진 필수)",퇴직금,고용보험 산재보험 건강보험 국민연금,2026-07-27,,6.5,5.0,20.0,7.4,20.0,7.0,65.9,C
H954202607270064,화영일렉콤(주),kt무선중계기 전기공사업체 인천공항 전기공사 인력 모집,내선 전기공(건물 내 전기공사원),경력,관계없음,상용직,월급 / 250만원 - 면접 후 협의가능 ,경기 부천시,,(근무시간) (오전) 8시 00분 ~ (오후) 6시 00분,주5일근무,40,마감일 (2026-09-24),고용24 입사지원   ,이력서   ,032-320-8905,"전기공사, 통신공사, 신재생 에너지 사업","이동통신 및 전기공사 시공 인력 모집

현재 kt 무선중계기 전기공사 수행중으로 이동통신 및 전기공사 경력자 사원 모집합니다.

공사 현장은 경기도 인천 지역 빈번하여 창고와 가까운 인천 부천 시흥 광명 지역 우대합니다.

건물옥상 전기실까지 전기배관공사 합니다
 
* 주 5일제 근무
* 중식제공
* 4대보험 가입 및 퇴직금 (1년이상근무)",퇴직금,고용보험 산재보험 건강보험 국민연금,2026-07-27,,5.0,6.2,20.0,7.4,20.0,7.0,65.6,C
